A1A6H3	6ILR;6ILS;6ILT;	RBSK At1g17160 F20D23.14 Ribokinase, AtRBSK, RK, EC 2.7.1.15
P46637	6VSU;	ARGAH1 At4g08900 T3H13.7 Arginase 1, mitochondrial, EC 3.5.3.1 (Agmatinase ARGAH1, EC 3.5.3.11) (Arginine amidohydrolase 1, AtARGAH1)
P47735	5IXO;5IXQ;5IXT;5IYV;5IYX;	RLK5 HAE At4g28490 F21O9.180 Receptor-like protein kinase 5, EC 2.7.10.1, EC 2.7.11.1 (Protein HAESA)
P47998	1Z7W;1Z7Y;2ISQ;	OASA1 OAS1 OASS OLD3 At4g14880 dl3480c Cysteine synthase 1, EC 2.5.1.47 (At.OAS.5-8) (Beta-substituted Ala synthase 1;1, ARAth-Bsas1;1) (CSase A, AtCS-A) (Cys-3A) (O-acetylserine (thiol)-lyase 1, OAS-TL A) (O-acetylserine sulfhydrylase) (Protein ONSET OF LEAF DEATH 3)
P48491	4OBT;6NXQ;6NXR;6NXS;6NXW;6NXX;6NXY;	CTIMC At3g55440 T22E16.100 Triosephosphate isomerase, cytosolic, TIM, Triose-phosphate isomerase, EC 5.3.1.1
P49040	3S27;3S28;3S29;	SUS1 At5g20830 T1M15.230 Sucrose synthase 1, AtSUS1, EC 2.4.1.13 (Sucrose-UDP glucosyltransferase 1)
P49333	1DCF;4PL9;	ETR1 At1g66340 T27F4.9 Ethylene receptor 1, AtETR1, EC 2.7.13.3 (Protein ETHYLENE RESPONSE 1) (Protein ETR1)
P49597	3JRQ;3KDJ;3NMN;	ABI1 At4g26080 F20B18.190 Protein phosphatase 2C 56, AtPP2C56, EC 3.1.3.16 (Protein ABSCISIC ACID-INSENSITIVE 1) (Protein phosphatase 2C ABI1, PP2C ABI1)
P49598	4N0G;	PP2CA AHG3 At3g11410 F24K9.8 Protein phosphatase 2C 37, AtPP2C37, EC 3.1.3.16 (Protein ABA-HYPERSENSITIVE GERMINATION 3) (Protein phosphatase 2C A, PP2CA)
P49599	4YZG;4YZH;	PPH1 PP2C57 TAP38 At4g27800 T27E11.40 Protein phosphatase 2C 57, AtPP2C57, EC 3.1.3.16 (Protein phosphatase 2C PPH1, PP2C PPH1) (Thylakoid-associated phosphatase of 38 kDa)
P49677	5C7F;	IAA1 At4g14560 dl3320w FCAALL.409 Auxin-responsive protein IAA1 (Indoleacetic acid-induced protein 1)
P52839	1Q44;2Q3M;	SOT12 RAR047 ST1 At2g03760 F19B11.21 Cytosolic sulfotransferase 12, AtSOT12, EC 2.8.2.- (Sulfotransferase 1, AtST1)
P53665	7A23;7A24;7AQW;7AR8;7ARB;	MTACP1 At2g44620 F16B22.11 Acyl carrier protein 1, mitochondrial (MtACP-1, ACP) (NADH-ubiquinone oxidoreductase 9.6 kDa subunit)
P53780	1IBJ;	At3g57050 F24I3.130 Cystathionine beta-lyase, chloroplastic, CBL, EC 4.4.1.13 (Beta-cystathionase) (Cysteine lyase) (Cysteine-S-conjugate beta-lyase)
P54609	6HD3;	CDC48A CDC48 At3g09840 F8A24.11 Cell division control protein 48 homolog A, AtCDC48a
P54970	1XMB;2Q43;	ILL2 At5g56660 MIK19.11 IAA-amino acid hydrolase ILR1-like 2, EC 3.5.1.-
P56761	5MDX;7OUI;	psbD AtCg00270 Photosystem II D2 protein, PSII D2 protein, EC 1.10.3.9 (Photosystem Q(A) protein)
P56778	5MDX;7OUI;	psbC CP43 AtCg00280 Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)
P56780	5MDX;7OUI;	psbH AtCg00710 Photosystem II reaction center protein H, PSII-H (Photosystem II 10 kDa phosphoprotein)
P59169	4PL6;4PLI;4PLL;	HTR4 At4g40030 T5J17.200; HTR5 At4g40040 T5J17.210; HTR8 At5g10980 T30N20_250 T5K6.6 Histone H3.3 (Histone H3.2)
P59220	4AQR;5A2H;	CAM7 At3g43810 T28A8.100 Calmodulin-7, CaM-7
P59226	4FT2;4FT4;4IUR;4IUT;4IUU;4IUV;5HH7;5VAH;5VBC;5YC3;5YC4;5YKO;5YVX;5Z8L;5Z8N;5ZNP;5ZNR;5ZWX;6IP4;6LQE;6LQF;7CCE;7DE9;	HTR2 At1g09200 T12M4.9; HTR3 At3g27360 K1G2.8; HTR13 At5g10390 F12B17_260; HTR9 At5g10400 F12B17_250; HTR1 At5g65360 MNA5.9 Histone H3.2 (Histone H3.1)
P69834	1W77;2YC3;2YC5;2YCM;4NAI;4NAK;4NAL;4NAN;5MRM;5MRN;5MRO;5MRP;5MRQ;	ISPD MCT MECT MEPCT At2g02500 T8K22.20 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase, chloroplastic, EC 2.7.7.60 (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase, AtMECT, AtMEPCT)
P82281	3RRW;	TL29 APX4 At4g09010 F23J3.40 Thylakoid lumenal 29 kDa protein, chloroplastic, TL29, EC 1.-.-.- (AtAPx07) (P29) (Probable L-ascorbate peroxidase 4)
P82874	1ZU2;	TOM20-3 At3g27080 MOJ10.15 Mitochondrial import receptor subunit TOM20-3 (Translocase of outer membrane 20 kDa subunit 3)
P83755	5MDX;7OUI;	psbA AtCg00020 Photosystem II protein D1, PSII D1 protein, EC 1.10.3.9 (Photosystem II Q(B) protein)
P84634	2KOU;	DCL4 At5g20320 F5O24.210 Dicer-like protein 4, EC 3.1.26.-
P92979	5YRY;	APR1 PRH19 At4g04610 F4H6.13 5'-adenylylsulfate reductase 1, chloroplastic, EC 1.8.4.9 (3'-phosphoadenosine-5'-phosphosulfate reductase homolog 19, PAPS reductase homolog 19, Prh-19) (Adenosine 5'-phosphosulfate 5'-adenylylsulfate sulfotransferase 1, APS sulfotransferase 1) (Thioredoxin-independent APS reductase 1)
P93003	1WKO;	TFL1 At5g03840 F8F6_50 Protein TERMINAL FLOWER 1
P93022	4NJ6;4NJ7;	ARF7 BIP IAA21 IAA23 IAA25 NPH4 TIR5 At5g20730 T1M15.130 Auxin response factor 7 (Auxin-responsive protein IAA21/IAA23/IAA25) (Protein BIPOSTO) (Protein NON-PHOTOTROPIC HYPOCOTYL 4) (Protein TRANSPORT INHIBITOR RESPONSE 5)
P93024	4CHK;4LDU;6L5K;	ARF5 IAA24 MP At1g19850 F6F9.10 Auxin response factor 5 (Auxin-responsive protein IAA24) (Transcription factor MONOPTEROS)
P93025	2Z6D;4EEP;4EER;4EES;4EET;4EEU;4NXB;4NXE;4NXF;4NXG;6GPU;6GPV;6QQH;6QQI;6QQJ;6QQK;6QSA;6S45;6S46;7ABY;	PHOT2 CAV1 KIN7 NPL1 At5g58140 K21L19.6 Phototropin-2, EC 2.7.11.1 (Defective in chloroplast avoidance protein 1) (Non-phototropic hypocotyl 1-like protein 1, AtKin7, NPH1-like protein 1)
P93026	4TJV;4TJX;7F2D;7F2I;	VSR1 BP80B ELP ELP1 At3g52850 F8J2.20 Vacuolar-sorting receptor 1, AtVSR1 (BP80-like protein b, AtBP80b) (Epidermal growth factor receptor-like protein 1, AtELP, AtELP1) (Spot 3 protein)
P93031	1N7G;1N7H;	MUR1 GMD2 At3g51160 F24M12.200 GDP-mannose 4,6 dehydratase 2, EC 4.2.1.47 (GDP-D-mannose dehydratase 2, GMD 2)
P93819	5NUE;5NUF;	MDH1 At1g04410 F19P19.13 Malate dehydrogenase 1, cytoplasmic, EC 1.1.1.37 (Cytosolic NAD-dependent malate dehydrogenase 1, cNAD-MDH1) (Cytosolic malate dehydrogenase 1, Cytosolic MDH1)
P93830	2MUK;6L5K;	IAA17 AXR3 At1g04250 F19P19.31 Auxin-responsive protein IAA17 (Auxin response 3) (Indoleacetic acid-induced protein 17)
P93832	3R8W;5J32;5J33;5J34;	IMDH2 IMD2 IMDH IPMDH2 At1g80560 T21F11.11 3-isopropylmalate dehydrogenase 2, chloroplastic, 3-IPM-DH 2, AtIMDH2, AtIMDH3, IMDH 2, EC 1.1.1.85 (Beta-IPM dehydrogenase 2) (Isopropylmalate dehydrogenase 2, AtIMD2)
P93836	1SP9;1SQD;1TFZ;1TG5;5XGK;5YWG;5YWH;5YWI;5YWK;5YY6;5YY7;6ISD;6J63;6JX9;6LGT;6M6D;7CJK;7E0X;	HPD PDS1 At1g06570 F12K11.9 4-hydroxyphenylpyruvate dioxygenase, EC 1.13.11.27 (4-hydroxyphenylpyruvic acid oxidase, 4HPPD, HPD, HPPDase)
Q00958	2VY1;2VY2;	LFY At5g61850 MAC9.18 Protein LEAFY
Q01667	2O01;2WSC;2WSE;2WSF;4XK8;6ZOO;	LHCA1 CAB6 At3g54890 F28P10.130 Chlorophyll a-b binding protein 6, chloroplastic (LHCI-730) (LHCII type III CAB-6) (Light-harvesting complex protein Lhca1)
Q05085	4OH3;5A2N;5A2O;	NPF6.3 CHL1 NRT1 NRT1.1 At1g12110 F12F1.1 T28K15_13 Protein NRT1/ PTR FAMILY 6.3, AtNPF6.3 (Nitrate transporter 1.1, AtNRT1) (Nitrate/chlorate transporter) (Protein CHLORINA 1)
Q05609	3P86;3PPZ;	CTR1 At5g03730 F17C15_150 Serine/threonine-protein kinase CTR1, EC 2.7.11.1 (Protein CONSTITUTIVE TRIPLE RESPONSE1)
Q05753	6JD6;	AKRP AKR EMB2036 At5g66055 K2A18.13 Ankyrin repeat domain-containing protein, chloroplastic, AKRP (Protein EMBRYO DEFECTIVE 2036)
Q06850	2AAO;	CPK1 AK1 At5g04870 MUK11.19 Calcium-dependent protein kinase 1, AtCDPK 1, CDPK 1, EC 2.7.11.1 (Calcium-dependent protein kinase isoform AK1)
Q07473	5MDX;7OUI;	LHCB4.1 At5g01530 F7A7_50 Chlorophyll a-b binding protein CP29.1, chloroplastic (LHCB4.1) (LHCII protein 4.1)
Q08467	6XX6;6XX7;6XX8;6XX9;6Z1C;	CKA1 At5g67380 K8K14.10 Casein kinase II subunit alpha-1, CK II, EC 2.7.11.1 (Casein kinase alpha 1, AtCKA1)
Q0PGJ6	3H7U;	AKR4C9 At2g37770 F13M22 T8P21.32 NADPH-dependent aldo-keto reductase, chloroplastic, AtChlAKR, EC 1.1.1.- (Aldo-keto reductase family 4 member C9)
Q0WP12	3LCC;	HOL1 At2g43910 F6E13.4 Thiocyanate methyltransferase 1, EC 2.1.1.n4 (Protein HARMLESS TO OZONE LAYER 1, AtHOL1)
Q0WVX5	6GNE;	SS4 At4g18240 T9A21.90 Probable starch synthase 4, chloroplastic/amyloplastic, AtSS4, EC 2.4.1.21 (Soluble starch synthase IV, SSIV)
Q1ENB6	7MPY;	CytHPPK/DHPS At1g69190 F23O10.22 F4N2.15 Folate synthesis bifunctional protein [Includes: 6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase, HPPK, EC 2.7.6.3 (2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase) (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase, PPPK); Dihydropteroate synthase, DHPS, EC 2.5.1.15 ]
Q1PFR7	6J9C;	LEC2 At1g28300 F3H9.5 B3 domain-containing transcription factor LEC2 (Protein LEAFY COTYLEDON 2)
Q2LAE1	2L7P;5YVX;6QXZ;	ASHH2 EFS LAZ2 SDG8 SET8 At1g77300 T14N5.15 Histone-lysine N-methyltransferase ASHH2, EC 2.1.1.- (ASH1 homolog 2) (H3-K4-HMTase) (Histone H3-K36 methyltransferase 8, H3-K36-HMTase 8) (Protein EARLY FLOWERING IN SHORT DAYS) (Protein LAZARUS 2) (Protein SET DOMAIN GROUP 8)
Q38802	3PYA;3PYB;4LIX;	GA1 ABC33 CPS CPS1 TPSGA1 At4g02780 T5J8.9 Ent-copalyl diphosphate synthase, chloroplastic, AtCPS, Ent-CDP synthase, EC 5.5.1.13 (Ent-kaurene synthase A, KSA) (Protein GA REQUIRING 1)
Q38814	1RP0;	THI1 ARA6 THI4 At5g54770 MBG8.3 Thiamine thiazole synthase, chloroplastic, EC 2.4.2.60 (Thiazole biosynthetic enzyme)
Q38825	2P1N;2P1O;2P1Q;	IAA7 AXR2 At3g23050 MXC7.8 Auxin-responsive protein IAA7 (Auxin resistant 2) (Indoleacetic acid-induced protein 7)
Q38828	5C7E;	IAA10 At1g04100 F20D22.13 Auxin-responsive protein IAA10 (Indoleacetic acid-induced protein 10)
Q38834	6J5T;6J5U;6J5V;6J5W;6J6I;	RPP13L4 ZAR1 At3g50950 F18B3.230 Disease resistance RPP13-like protein 4 (Disease resistance protein ZAR1) (Protein HOPZ-ACTIVATED RESISTANCE 1, AtZAR1)
Q38846	4MT8;4MTX;	ERS1 ERS At2g40940 T20B5.14 Ethylene response sensor 1, AtERS1, EC 2.7.11.-, EC 2.7.13.3 (Protein ERS1)
Q38854	7BZX;7BZY;	DXS CLA1 DEF At4g15560 dl3821w 1-deoxy-D-xylulose-5-phosphate synthase, chloroplastic, 1-deoxyxylulose-5-phosphate synthase, DXP synthase, DXPS, EC 2.2.1.7 (Protein CLOROPLASTOS ALTERADOS 1)
Q38882	6KZ8;6KZ9;	PLDALPHA1 PLD1 At3g15730 MSJ11.13 Phospholipase D alpha 1, AtPLDalpha1, PLD alpha 1, EC 3.1.4.4 (Choline phosphatase 1) (PLDalpha) (Phosphatidylcholine-hydrolyzing phospholipase D 1)
Q38895	1NJQ;2L1O;	SUP FLO10 At3g23130 K14B15.1 Transcriptional regulator SUPERMAN
Q38937	2NTY;	ARAC5 ATGP3 ROP4 At1g75840 T4O12.8 Rac-like GTP-binding protein ARAC5, AtRAC5 (GTPase protein ROP4)
Q38998	5AAR;7T4X;	AKT1 At2g26650 F18A8.2 Potassium channel AKT1
Q39026	5CI6;6DTL;	MPK6 At2g43790 F18O19.10 Mitogen-activated protein kinase 6, AtMPK6, MAP kinase 6, EC 2.7.11.24
Q39034	1QGJ;	PER59 P59 At5g19890 F28I16.40 Peroxidase 59, Atperox P59, EC 1.11.1.7 (ATPN) (Peroxidase N)
Q39054	1EAV;1O8N;1O8O;1O8Q;1UUX;1UUY;5G2R;5G2S;6ETD;6ETF;6ETH;6GAX;6GB0;6GB4;6GB9;6GBC;6GBF;6Q32;6RMS;	CNX1 At5g20990 F22D1.6 T10F18.20 Molybdopterin biosynthesis protein CNX1 (Molybdenum cofactor biosynthesis enzyme CNX1) [Includes: Molybdopterin molybdenumtransferase, MPT Mo-transferase, EC 2.10.1.1 (Domain E); Molybdopterin adenylyltransferase, MPT adenylyltransferase, EC 2.7.7.75 (Domain G) ]
Q39057	7CVO;7CVQ;	CO At5g15840 F14F8_220 Zinc finger protein CONSTANS
Q39119	5NIJ;	At4g32940 F26P21.60 Vacuolar-processing enzyme gamma-isozyme, EC 3.4.22.34 (Asparaginyl endopeptidase gamma-VPE) (Gamma-VPE)
Q39128	5NWI;5NWJ;5NWK;6V1X;6V1Y;7CAL;	KAT1 At5g46240 MPL12.2 Potassium channel KAT1
Q39129	1TQ1;	STR16 At5g66040 K2A18.11 Thiosulfate sulfurtransferase 16, chloroplastic, EC 2.8.1.1 (Rhodanese) (Senescence-associated protein) (Sulfurtransferase 16, AtStr16)
Q39172	2J3H;2J3I;2J3J;2J3K;	AER P1 At5g16970 F2K13_120 NADPH-dependent oxidoreductase 2-alkenal reductase, AtAER, EC 1.3.1.-, EC 1.3.1.74 (NADP-dependent alkenal double bond reductase P1, DBR1) (NADPH-azodicarbonyl/quinone reductase) (NADPH:2-alkenal/one alpha,beta-hydrogenase, ALH) (P1-zeta-crystallin protein, P1-ZCr)
Q39193	3UC3;	SRK2I 41K OSKL2 SNRK2.3 At5g66880 MUD21.14 Serine/threonine-protein kinase SRK2I, EC 2.7.11.1 (OST1-kinase-like 2) (Protein ATHPROKIN B) (SNF1-related kinase 2.3, SnRK2.3)
Q39204	5GNJ;	MYC2 BHLH6 EN38 JAI1 JIN1 RAP1 RD22BP1 ZBF1 At1g32640 F6N18.4 Transcription factor MYC2, AtMYC2 (Basic helix-loop-helix protein 6, AtbHLH6, bHLH 6) (Protein JASMONATE INSENSITIVE 1) (R-homologous Arabidopsis protein 1, RAP-1) (Transcription factor EN 38) (Z-box binding factor 1 protein) (bHLH transcription factor bHLH006) (rd22BP1)
Q39211	7EU0;7EU1;	NRPB3 NRPD3 NRPE3A RPB36A At2g15430 F26H6.5 DNA-directed RNA polymerases II, IV and V subunit 3 (DNA-directed RNA polymerase II 36 kDa polypeptide A) (DNA-directed RNA polymerase II subunit RPB3-A, RNA polymerase II subunit 3-A, RNA polymerase II subunit B3-A)
Q39243	1VDC;	NTR1 NTRB At4g35460 F15J1.30 Thioredoxin reductase 1, mitochondrial, EC 1.8.1.9 (NADPH-dependent thioredoxin reductase 1, NTR1) (NADPH-dependent thioredoxin reductase B, AtNTRB)
Q39249	3CQN;3CQR;	VDE1 AVDE1 NPQ1 VXDE At1g08550 F22O13.3 T27G7.23 Violaxanthin de-epoxidase, chloroplastic, AtVxDE, EC 1.23.5.1 (Protein NON-PHOTOCHEMICAL QUENCHING 1)
Q39250	1F7S;	ADF1 At3g46010 F16L2_220 Actin-depolymerizing factor 1, ADF-1, AtADF1
Q39255	2P1M;2P1N;2P1O;2P1P;2P1Q;3C6N;3C6O;3C6P;3OGK;3OGL;3OGM;5HYW;5HZG;6BRO;6BRP;6BRQ;	SKP1A ASK1 SKP1 UIP1 At1g75950 T4O12.17 SKP1-like protein 1A, SKP1-like 1 (UFO-binding protein 1)
Q3E880	5HYX;	GLV11 CLEL8 RGF1 At5g60810 MAE1.14 Protein GOLVEN 11 (CLAVATA3/ESR (CLE)-related protein CLEL8, CLE-Like protein 8) (Root meristem growth factor 1, AtRGF1) [Cleaved into: GLV11p (RGF1p) ]
Q3E8W4	5Y92;6A5C;6FIH;	ANX2 At5g28680 F4I4.60 Receptor-like protein kinase ANXUR2, EC 2.7.11.1
Q3E991	5Y9W;5YAH;	PRK6 At5g20690 T1M15.90 Pollen receptor-like kinase 6, AtPRK6
Q3S4A7	4EUK;	AHK5 CKI2 At5g10720 MAJ23.80 Histidine kinase 5, EC 2.7.13.3 (Arabidopsis histidine kinase 5, AtHK5) (Protein AUTHENTIC HIS-KINASE 5) (Protein CYTOKININ-INDEPENDENT 2)
Q41931	5GJ9;5GJA;	ACO2 EI305 At1g62380 F24O1.10 1-aminocyclopropane-1-carboxylate oxidase 2, ACC oxidase 2, AtACO2, EC 1.14.17.4
Q41951	5I32;	TIP2-1 At3g16240 MYA6.10 Aquaporin TIP2-1 (Delta-tonoplast intrinsic protein, Delta-TIP) (Tonoplast intrinsic protein 2-1, AtTIP2;1) [Cleaved into: Aquaporin TIP2-1, N-terminally processed ]
Q42418	6IQI;6IQJ;	PRF2 PFN2 PRO2 At4g29350 F17A13.170 Profilin-2 (AtPROF2) (AthPRF2)
Q42449	1A0K;3NUL;	PRF1 PFN1 PRO1 At2g19760 F6F22.21 Profilin-1 (AtPROF1) (AthPRF1) (allergen Ara t 8)
Q42521	3HBX;	GAD1 GAD GDH1 At5g17330 MKP11.30 MKP11_18 Glutamate decarboxylase 1, GAD 1, EC 4.1.1.15
Q42524	3TSY;	4CL1 At1g51680 F19C24.11 4-coumarate--CoA ligase 1, 4CL 1, EC 6.2.1.12 (4-coumarate--CoA ligase isoform 1, At4CL1) (4-coumaroyl-CoA synthase 1)
Q42525	4QS7;4QS8;4QS9;	HXK1 GIN2 At4g29130 F19B15.160 Hexokinase-1, EC 2.7.1.1 (Protein GLUCOSE INSENSITIVE 2)
Q42546	5ESY;	SAL1 FRY1 At5g63980 MBM17.8 SAL1 phosphatase (3'(2'),5'-bisphosphate nucleotidase 1, EC 3.1.3.7) (3'(2'),5'-bisphosphonucleoside 3'(2')-phosphohydrolase 1) (DPNPase 1) (Inositol polyphosphate 1-phosphatase 1, IPPase 1) (Inositol-1,4-bisphosphate 1-phosphatase 1, EC 3.1.3.57) (Protein FIERY 1)
Q42551	6GUM;6GV3;	SCE1 AHUS5 EMB1637 At3g57870 T10K17.80 SUMO-conjugating enzyme SCE1, EC 2.3.2.- (Protein EMBRYO DEFECTIVE 1637) (Protein hus5 homolog) (SUMO-conjugating enzyme 1, AtSCE1)
Q42578	1PA2;1QO4;	PER53 P53 At5g06720 MPH15.8 Peroxidase 53, Atperox P53, EC 1.11.1.7 (ATPA2)
Q42588	2ISQ;	SAT1 SAT5 At1g55920 F14J16.18 Serine acetyltransferase 1, chloroplastic, AtSAT-1, EC 2.3.1.30 (AtSERAT2;1) (SAT-p)
Q43125	1U3C;1U3D;6QTW;	CRY1 BLU1 HY4 At4g08920 T3H13.14 T3H13.5 Cryptochrome-1, AtCry, Atcry1 (Blue light photoreceptor) (Protein BLUE LIGHT UNINHIBITED 1) (Protein ELONGATED HYPOCOTYL 4) (Protein OUT OF PHASE 2, OOP2)
Q43295	3UIE;4FXP;	APK1 AKN1 At2g14750 F26C24.11 T6B13.1 Adenylyl-sulfate kinase 1, chloroplastic, EC 2.7.1.25 (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase 1) (Adenosine-5'-phosphosulfate kinase 1, APS kinase 1)
Q43316	4HTG;	HEMC RUG1 At5g08280 F8L15_10 Porphobilinogen deaminase, chloroplastic, PBG, EC 2.5.1.61 (Hydroxymethylbilane synthase, HMBS) (Pre-uroporphyrinogen synthase) (Protein RUGOSA1)
Q43725	4AEC;	OASC ACS 1 At3g59760 F24G16.30 Cysteine synthase, mitochondrial, EC 2.5.1.47 (Beta-substituted Ala synthase 2;2, ARAth-Bsas2;2) (CSase C, AtCS-C, CS-C) (O-acetylserine (thiol)-lyase) (O-acetylserine sulfhydrylase) (OAS-TL C)
Q43866	2AC1;2OXB;2QQU;2QQV;2QQW;2XQR;	CWINV1 BFRUCT1 At3g13790 MMM17.26 Beta-fructofuranosidase, insoluble isoenzyme CWINV1, EC 3.2.1.26 (Cell wall beta-fructosidase 1, AtbetaFRUCT1) (Cell wall invertase 1, AtcwINV1) (Sucrose hydrolase 1)
Q4F883	4NFU;	SAG101 At5g14930 F2G14.50 Senescence-associated carboxylesterase 101, EC 3.1.1.1
Q4V3E2	4PL6;4PLI;4PLL;	MRG2 At1g02740 F22D16.25 Protein MRG2 (MRG family protein 2) (Morf Related Gene 2)
Q4VP08	5Y9W;5YAH;	LURE1.2 CRP810_1.2 At5g43510 MWF20.23 Protein LURE 1.2, AtLURE1.2 (Cysteine-Rich Peptide 810_1.2, CRP810_1.2) (Defensin-like protein 213)
Q500V5	5ZWZ;6IE4;6IE5;6IE6;6IE7;	AGDP1 ADCP1 At1g09320 T31J12.4 Protein AGENET DOMAIN (AGD)-CONTAINING P1 (Protein ONE AGENET DOMAIN-CONTAINING PROTEIN)
Q56WD9	2C7Y;2C7Z;2WU9;	PED1 KAT2 At2g33150 F25I18.11 3-ketoacyl-CoA thiolase 2, peroxisomal, EC 2.3.1.16 (Acetyl-CoA acyltransferase 2) (Beta-ketothiolase 2) (Peroxisomal 3-oxoacyl-CoA thiolase 2) (Peroxisome defective protein 1)
Q56YA5	6PK1;6PK3;	AGT1 At2g13360 F14O4.7 Serine--glyoxylate aminotransferase, EC 2.6.1.45 (Alanine--glyoxylate aminotransferase, AGT, EC 2.6.1.44) (Asparagine aminotransferase, EC 2.6.1.-) (Serine--pyruvate aminotransferase, EC 2.6.1.51)
Q570C0	2P1M;2P1N;2P1O;2P1P;2P1Q;3C6N;3C6O;3C6P;	TIR1 FBL1 WEI1 At3g62980 T20O10.80 Protein TRANSPORT INHIBITOR RESPONSE 1 (Weak ethylene-insensitive protein 1)
Q5CCK4	5Z28;	VAL2 HSL1 At4g32010 F10N7.180 B3 domain-containing transcription repressor VAL2 (Protein HIGH-LEVEL EXPRESSION OF SUGAR-INDUCIBLE-LIKE 1) (Protein VP1/ABI3-LIKE 2)
Q5HZ00	3APZ;3AQ0;	SPS3 GPS1 At2g34630 T31E10.3 Solanesyl diphosphate synthase 3, chloroplastic/mitochondrial, EC 2.5.1.85 (All-trans-nonaprenyl-diphosphate synthase 3 (geranylgeranyl-diphosphate specific)) (Geranyl diphosphate synthase 1) (Trans-type polyprenyl pyrophosphate synthase, AtPPPS)
Q5ICL9	6WPG;	NPR4 At4g19660 T16H5.20 Regulatory protein NPR4 (BTB/POZ domain-containing protein NPR4)
Q5XEZ5	6IJZ;6MGV;6MGW;	CSC1 OSCA1.2 At4g22120 F1N20.220 Calcium permeable stress-gated cation channel 1, AtCSC1 (Hyperosmolality-gated Ca2+ permeable channel 1.2, AtOSCA1.2)
Q5XVG3	6L0V;6L0W;	LAZY4 DRO1 LZY3 NGR2 At1g72490 T10D10.4 Protein LAZY 4, AtLAZY4 (Protein DEEPER ROOTING 1, AtDRO1) (Protein LAZY1-LIKE 3) (Protein NEGATIVE GRAVITROPIC RESPONSE OF ROOTS 2, AtNGR2)
Q66GI4	4G23;4G24;4G25;4G26;6BV5;6BV6;6BV8;6BV9;6LVR;	PRORP1 At2g32230 F22D22.2 Proteinaceous RNase P 1, chloroplastic/mitochondrial, EC 3.1.26.5 (Pentatricopeptide repeat-containing protein At2g32230)
Q66GR6	4KOQ;	WHY3 PTAC11 At2g02740 T20F6.12 Single-stranded DNA-binding protein WHY3, chloroplastic (Protein PLASTID TRANSCRIPTIONALLY ACTIVE 11) (Protein WHIRLY 3, AtWHY3)
Q67XG0	4C0N;4C44;	GLB3 At4g32690 F4D11.110 Two-on-two hemoglobin-3, AtGLB3 (2-on-2 hemoglobin-3)
Q67Z52	2KJ6;	TFCB EMB2804 TBCB At3g10220 F14P13.18 Tubulin-folding cofactor B, AtTFCB (Protein EMBRYO DEFECTIVE 2804)
Q680B9	5DIZ;5FT9;	PRORP2 At2g16650 T24I21.6 Proteinaceous RNase P 2, EC 3.1.26.5
Q680Q4	1WEW;	SIZ1 At5g60410 MUF9.5 MUF9.70 E3 SUMO-protein ligase SIZ1, EC 2.3.2.- (E3 SUMO-protein transferase SIZ1)
Q6DSU1	5HZ0;	GLV5 CLEL1 RGF2 At1g13620 F21F23.5 Protein GOLVEN 5 (CLAVATA3/ESR (CLE)-related protein CLEL1, CLE-Like protein 1) (Root meristem growth factor 2, AtRGF2) [Cleaved into: GLV5p ]
Q6ID70	2KMW;	P23-2 At3g03773 F20H23.30 Co-chaperone protein p23-2 (Atp23-2)
Q6ID76	5HZ1;	GLV7 CLEL3 RGF3 At2g04025 F3C11.1 Protein GOLVEN 7 (CLAVATA3/ESR (CLE)-related protein CLEL3, CLE-Like protein 3) (Root meristem growth factor 3, AtRGF3) [Cleaved into: GLV7p ]
Q6NLH0	7EU0;7EU1;	NRPB9A NRPE9A At3g16980 K14A17 DNA-directed RNA polymerases II, IV and V subunit 9A
Q6NPF9	7BZK;	At1g76760 F28O16.13 Thioredoxin Y1, chloroplastic, AtTrxy1
Q6TBX7	6L8H;	CYP97C1 LUT1 At3g53130 T4D2.60 Carotene epsilon-monooxygenase, chloroplastic, EC 1.14.14.158 (Cytochrome P450 97C1) (Protein LUTEIN DEFICIENT 1)
Q6XAT2	5XKN;	ERL2 At5g07180 T28J14.120 LRR receptor-like serine/threonine-protein kinase ERL2, EC 2.7.11.1 (Protein ERECTA-like kinase 2)
Q700D2	5B3H;6KPB;	JKD IDD10 IDZ3 At5g03150 F15A17.180 MOK16.6 Zinc finger protein JACKDAW (ID1-like zinc finger protein 3) (Protein indeterminate-domain 10)
Q7XA67	3BSF;	MTN2 MTAN2 At4g34840 T11I11.80 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase, MTA/SAH nucleosidase, EC 3.2.2.9 (5'-methylthioadenosine nucleosidase 2, AtMTAN2, MTA nucleosidase 2) (S-adenosylhomocysteine nucleosidase, AdoHcy nucleosidase, SAH nucleosidase, SRH nucleosidase)
Q7XJJ7	6DHV;6DII;	FAAH At5g64440 T12B11.3 Fatty acid amide hydrolase, AtFAAH, EC 3.5.1.99 (N-acylethanolamine amidohydrolase)
